NAME,Total bottles ,Pecent Total
ALBANIA,"3,265",0
ALGERIA,"4,256",0
ANGOLA,"56,250",0
ANTIGUA,"74,623",0
ARGENTINA,"772,014",0
AUSTRALIA,"54,930,277",18
AUSTRIA,0,0
BAHAMAS,"102,812",0
BAHRAIN,"68,511",0
BANGLADESH,0,0
BARBADOS,"45,157",0
BELARUS,0,0
BELGIUM,"1,025,243",0
BELIZE,0,0
BENIN,"9,590",0
BERMUDA,"152,781",0
BRAZIL,"610,822",0
BULGARIA,0,0
CAMBODIA,"3,521",0
CANADA,"36,316,936",12
CAYMAN IS,"2,710",0
CHILE,"469,354",0
CHINA,"1,330,273",0
COLOMBIA,"114,842",0
COSTA RICA,"89,402",0
CROATIA,"7,457",0
CUBA,0,0
CURACAO,0,0
CYPRUS,"165,367",0
CZECH REP,"210,438",0
DENMARK,"114,183",0
DOM REP,"161,978",0
ECUADOR,"216,990",0
EGYPT,"6,547",0
ESTONIA,"945,506",0
ETHIOPIA,0,0
FINLAND,"366,872",0
FR GUIANA,0,0
FR POLY,0,0
FRANCE,"5,514,674",2
GEORGIA,"200,325",0
GERMANY,"16,539,067",5
GHANA,"9,567",0
GREECE,"1,121,625",0
GRENADA,"5,183",0
GUADELOUPE,0,0
GUATEMALA,"114,550",0
HAITI,0,0
HONDURAS,0,0
HONG KONG,"277,649",0
HUNGARY,"7,533",0
ICELAND,"20,025",0
INDIA,"80,046",0
INDONESIA,"6,185",0
IRELAND,"242,779",0
ISRAEL,"482,059",0
ITALY,"313,538",0
JAMAICA,"469,224",0
JAPAN,"45,530,049",15
JORDAN,"4,297",0
KAZAKHSTN,0,0
KENYA,"3,277",0
"KOREA, S.","316,520",0
LATVIA,"1,057,896",0
LEBANON,"11,902",0
LITHUANIA,"94,919",0
MACAO,"5,775",0
MALAYSIA,"16,830",0
MALDIVES,0,0
MALTA,0,0
MARSHALL IS,0,0
MARTINQ,0,0
MEXICO,"8,251,874",3
MOLDOVA,0,0
MOROCCO,"4,545",0
N. ZEALAND,"9,730,950",3
NAMIBIA,0,0
NETHLDS,"8,071,877",3
NICARAGUA,0,0
NIGERIA,"42,588",0
NORWAY,"47,266",0
PAKISTAN,"15,422",0
PANAMA,"572,063",0
PARAGUAY,"85,114",0
PERU,"212,340",0
PHILIPPINES,"397,662",0
POLAND,"360,789",0
PORTUGAL,0,0
QATAR,"16,101",0
REUNION,0,0
ROMANIA,"4,685",0
RUSSIA,"311,546",0
S. AFRICA,"541,121",0
SERBIA,0,0
SINGAPORE,"5,161,649",2
SINT MAARTEN,"29,832",0
SLOVAKIA,0,0
SLOVENIA,0,0
SPAIN,"71,637,764",24
SRI LANKA,"67,170",0
ST. LUCIA,"104,690",0
SURINAM,0,0
SWEDEN,"504,752",0
SWITZLD,"62,715",0
TAIWAN,"1,391,156",0
THAILAND,"143,503",0
TOGO,0,0
TRINIDAD,"9,105",0
TURK & CAC.,0,0
TURKEY,"184,299",0
U. A. E.,"1,593,105",1
U. KINGDOM,"19,980,138",7
UGANDA,0,0
UKRAINE,"99,411",0
URUGUAY,"1,311,287",0
VENEZUELA,"159,815",0
VIETNAM,"102,447",0
TOTAL,"302,032,252",
